complexity,loss,equation,score,sympy_format,lambda_format
1,0.015648501,0.29755053,0.0,0.297550530000000,PySRFunction(X=>0.297550530000000)
3,0.013361041,log10_sigma * 0.0642017,0.07901602270823095,log10_sigma*0.0642017,PySRFunction(X=>log10_sigma*0.0642017)
4,0.0094339885,log(log10_sigma / 3.4786613),0.34802411836843317,log(0.287466905731811*log10_sigma),PySRFunction(X=>log(0.287466905731811*log10_sigma))
5,0.007507874,(log10_sigma * 0.4197655) + -1.6708088,0.22836662938185584,log10_sigma*0.4197655 - 1.6708088,PySRFunction(X=>log10_sigma*0.4197655 - 1.6708088)
6,0.007446993,alpha_infinity * log(log10_sigma / 3.8699443),0.008142009732109674,alpha_infinity*log(0.258401651930753*log10_sigma),PySRFunction(X=>alpha_infinity*log(0.258401651930753*log10_sigma))
7,0.007064198,((log10_sigma + -5.001554) / alpha_infinity) + 0.50831425,0.052770834398322586,0.50831425 + (log10_sigma - 5.001554)/alpha_infinity,PySRFunction(X=>0.50831425 + (log10_sigma - 5.001554)/alpha_infinity)
8,0.006497516,log((4.8035755 / log10_lambda) + (log10_sigma / 1.8470478)),0.08361954233786721,log(0.541404505070199*log10_sigma + 4.8035755/log10_lambda),PySRFunction(X=>log(0.541404505070199*log10_sigma + 4.8035755/log10_lambda))
9,0.0043527354,(((log10_sigma + -5.159881) / alpha_infinity) * 0.65142906) + 0.5045796,0.4006154749584693,0.5045796 + (log10_sigma - 5.159881)*0.65142906/alpha_infinity,PySRFunction(X=>0.5045796 + (log10_sigma - 5.159881)*0.65142906/alpha_infinity)
11,0.003589927,(log10_lambda * -0.12518528) + (((log10_sigma * 0.65825075) + -3.397185) / alpha_infinity),0.09633630351298664,log10_lambda*(-0.12518528) + (log10_sigma*0.65825075 - 3.397185)/alpha_infinity,PySRFunction(X=>log10_lambda*(-0.12518528) + (log10_sigma*0.65825075 - 3.397185)/alpha_infinity)
13,0.0026470209,((((-16.850159 / log10_lambda) - log10_f) * (log10_sigma + -5.0555367)) / alpha_infinity) + 0.48031816,0.15234852454339795,0.48031816 + (-log10_f - 16.850159/log10_lambda)*(log10_sigma - 5.0555367)/alpha_infinity,PySRFunction(X=>0.48031816 + (-log10_f - 16.850159/log10_lambda)*(log10_sigma - 5.0555367)/alpha_infinity)
