complexity,loss,equation,score,sympy_format,lambda_format
1,0.004565285,0.32301128,0.0,0.323011280000000,PySRFunction(X=>0.323011280000000)
3,0.0035319964,alpha_infinity * 0.20604883,0.12830884007693857,alpha_infinity*0.20604883,PySRFunction(X=>alpha_infinity*0.20604883)
4,0.002979763,sqrt(alpha_infinity) * 0.26188925,0.17001949633536942,0.26188925*sqrt(alpha_infinity),PySRFunction(X=>0.26188925*sqrt(alpha_infinity))
5,0.0029276474,(-0.2801417 / alpha_infinity) + 0.5124165,0.01764460180297076,0.5124165 - 0.2801417/alpha_infinity,PySRFunction(X=>0.5124165 - 0.2801417/alpha_infinity)
6,0.0029235957,sqrt(alpha_infinity - 0.27579588) * 0.28903496,0.0013849025167255238,0.28903496*sqrt(alpha_infinity - 0.27579588),PySRFunction(X=>0.28903496*sqrt(alpha_infinity - 0.27579588))
7,0.002561072,((1.9962041 / alpha_infinity) + log10_lambda) / log10_k0_prime,0.1323883419934219,(log10_lambda + 1.9962041/alpha_infinity)/log10_k0_prime,PySRFunction(X=>(log10_lambda + 1.9962041/alpha_infinity)/log10_k0_prime)
9,0.0023337752,(log10_lambda + ((6.6865172 - log10_sigma) / alpha_infinity)) / log10_k0_prime,0.04646935347644451,(log10_lambda + (6.6865172 - log10_sigma)/alpha_infinity)/log10_k0_prime,PySRFunction(X=>(log10_lambda + (6.6865172 - log10_sigma)/alpha_infinity)/log10_k0_prime)
11,0.0022707589,(((log10_lambda + (11.043618 - log10_sigma)) / alpha_infinity) + -4.268986) / log10_k0_prime,0.013686560542438862,(-4.268986 + (log10_lambda - log10_sigma + 11.043618)/alpha_infinity)/log10_k0_prime,PySRFunction(X=>(-4.268986 + (log10_lambda - log10_sigma + 11.043618)/alpha_infinity)/log10_k0_prime)
13,0.0022675137,((((log10_lambda + 11.043618) - log10_sigma) / alpha_infinity) + -4.268986) / (log10_k0_prime - local_t2),0.0007150739585638378,(-4.268986 + (log10_lambda - log10_sigma + 11.043618)/alpha_infinity)/(-local_t2 + log10_k0_prime),PySRFunction(X=>(-4.268986 + (log10_lambda - log10_sigma + 11.043618)/alpha_infinity)/(-local_t2 + log10_k0_prime))
15,0.0020147113,((((5.197591 - log10_sigma) * -5.5362134) / (alpha_infinity / (3.8868358 - log10_sigma))) + log10_lambda) / log10_k0_prime,0.05910401759288325,(log10_lambda + (5.197591 - log10_sigma)*(-5.5362134)/(alpha_infinity/(3.8868358 - log10_sigma)))/log10_k0_prime,PySRFunction(X=>(log10_lambda + (5.197591 - log10_sigma)*(-5.5362134)/(alpha_infinity/(3.8868358 - log10_sigma)))/log10_k0_prime)
17,0.0019956636,(((5.197591 - log10_sigma) * (-5.5362134 / (alpha_infinity / (3.8868358 - log10_sigma)))) + log10_lambda) / (log10_k0_prime - local_t3),0.004749641544171071,(log10_lambda + (5.197591 - log10_sigma)*(-5.5362134)/(alpha_infinity/(3.8868358 - log10_sigma)))/(-local_t3 + log10_k0_prime),PySRFunction(X=>(log10_lambda + (5.197591 - log10_sigma)*(-5.5362134)/(alpha_infinity/(3.8868358 - log10_sigma)))/(-local_t3 + log10_k0_prime))
19,0.0019827408,(log10_lambda + (((5.1983986 - log10_sigma) / (alpha_infinity / (3.888859 - log10_sigma))) * -5.538436)) / (log10_k0_prime - (local_t3 * 2.9979522)),0.0032482483304011956,(log10_lambda + (5.1983986 - log10_sigma)*(-5.538436)/(alpha_infinity/(3.888859 - log10_sigma)))/(-2.9979522*local_t3 + log10_k0_prime),PySRFunction(X=>(log10_lambda + (5.1983986 - log10_sigma)*(-5.538436)/(alpha_infinity/(3.888859 - log10_sigma)))/(-2.9979522*local_t3 + log10_k0_prime))
21,0.0019821078,((((5.1983986 - log10_sigma) / (alpha_infinity / (3.888859 - log10_sigma))) * -5.538436) + log10_lambda) / (log10_k0_prime - ((log10_f * local_t3) / 1.2363831)),0.00015965300803112744,(log10_lambda + (5.1983986 - log10_sigma)*(-5.538436)/(alpha_infinity/(3.888859 - log10_sigma)))/(-local_t3*log10_f/1.2363831 + log10_k0_prime),PySRFunction(X=>(log10_lambda + (5.1983986 - log10_sigma)*(-5.538436)/(alpha_infinity/(3.888859 - log10_sigma)))/(-local_t3*log10_f/1.2363831 + log10_k0_prime))
22,0.0019756577,((((5.1983986 - log10_sigma) / (alpha_infinity / (3.888859 - log10_sigma))) * -5.538436) + log10_lambda) / (log10_k0_prime - (local_t3 * log(alpha_infinity / local_t2))),0.0032594683593860315,(log10_lambda - 5.538436*(3.888859 - log10_sigma)*(5.1983986 - log10_sigma)/alpha_infinity)/(-local_t3*log(alpha_infinity/local_t2) + log10_k0_prime),PySRFunction(X=>(log10_lambda - 5.538436*(3.888859 - log10_sigma)*(5.1983986 - log10_sigma)/alpha_infinity)/(-local_t3*log(alpha_infinity/local_t2) + log10_k0_prime))
24,0.0019690723,(log10_lambda + ((-5.538436 * (5.1983986 - log10_sigma)) / (alpha_infinity / (3.888859 - log10_sigma)))) / (log10_k0_prime - (local_t3 * ((log(alpha_infinity) / -0.9507312) / -0.31712687))),0.0016694187226362254,(log10_lambda + (3.888859 - log10_sigma)*(5.538436*log10_sigma - 28.7909979485896)/alpha_infinity)/(-3.31672307728263*local_t3*log(alpha_infinity) + log10_k0_prime),PySRFunction(X=>(log10_lambda + (3.888859 - log10_sigma)*(5.538436*log10_sigma - 28.7909979485896)/alpha_infinity)/(-3.31672307728263*local_t3*log(alpha_infinity) + log10_k0_prime))
