Complexity,Loss,Equation
1,0.026213907,"0.2742651"
3,0.006017451,"log10_sigma + -4.4149165"
4,0.0029736476,"log(log10_sigma + -3.3495862)"
5,0.0023583786,"(log10_sigma * 0.71857464) + -3.0952606"
7,0.0023460055,"((log10_sigma * 2.3422608) - 10.089497) / log10_f"
9,0.0019917868,"((log10_sigma * 0.7226012) + (log10_lambda * -0.122389995)) - 3.6103973"
11,0.001754795,"((log10_sigma * -2.94322) / log10_lambda) + ((15.845308 / log10_lambda) - -0.7788334)"
13,0.0016544146,"(((log10_sigma * -1.2464536) + 3.0832765) + (-9.2346525 / log10_lambda)) / (log10_lambda - -2.3467462)"
15,0.0014097105,"((log10_sigma * -2.3193138) + (59.98438 / log10_lambda)) + (((-12.332853 / log10_lambda) * log10_sigma) - -11.680622)"
19,0.0011551529,"(((log10_sigma / log10_lambda) * -12.713612) - -12.014604) + ((log10_sigma * -2.4126086) + ((alpha_infinity * 0.051429834) + (61.67252 / log10_lambda)))"
21,0.001155152,"((((61.67252 / log10_lambda) + ((log10_sigma * -2.4126086) + (alpha_infinity * 0.051429834))) + (log10_sigma * (-12.713612 / log10_lambda))) - -11.933447) - -0.08115677"
