Complexity,Loss,Equation
1,0.026387004,"0.2960224"
3,0.0039436636,"log10_sigma - 4.3931627"
4,0.001211226,"log(log10_sigma - 3.3232923)"
5,0.00088960305,"(log10_sigma * 0.74289185) - 3.1875346"
7,0.0008316986,"(log10_sigma + (-1.1197662 - log10_f)) * 0.7369993"
8,0.00075116096,"((log10_sigma * 0.74289185) + -2.034552) - log(log10_f)"
9,0.0007390117,"((-2.737333 - log10_f) * (log10_sigma / -7.9941454)) - log10_f"
11,0.00073814753,"(((log10_sigma * (-2.694397 - log10_f)) / -7.9404078) - log10_f) / 0.99359584"
13,0.00069129677,"((-3.4198995 - log10_f) * (log10_sigma / ((log10_k0_prime * 0.05500161) + -8.455249))) - log10_f"
15,0.00068705814,"(((-3.187171 - log10_f) * log10_sigma) / ((log10_k0_prime * (0.14589922 / log10_f)) + -8.215547)) - log10_f"
17,0.0006698372,"(log10_sigma * ((-3.3503964 - log10_f) / (((log10_k0_prime / (log10_f - log10_lambda)) * 0.3612681) + -8.402997))) - log10_f"
18,0.0006662478,"((log10_sigma * (-2.5990057 - log10_f)) / (((log10_k0_prime * 0.2646552) / (sqrt(log10_sigma) - log10_lambda)) + -7.448843)) - log10_f"
21,0.00064345525,"((0.050960176 / (log10_f - (log10_lambda - log10_lambda_prime))) * log10_k0_prime) + ((((-3.2713566 - log10_f) * (log10_sigma / -8.3868065)) - log10_f) / 1.0299169)"
23,0.00064296654,"((((log10_k0_prime * (-0.008174593 / (log10_f - (log10_lambda + (0.017836718 - log10_lambda_prime))))) + (log10_sigma / -8.385546)) * (-3.272874 - log10_f)) - log10_f) / 1.0309823"
