Complexity,Loss,Equation
1,0.018916525,"0.3601229"
3,0.008695089,"log10_sigma + -4.3290687"
4,0.0026619176,"log(log10_sigma + -3.231545)"
5,0.0016903734,"-2.5031922 - (log10_sigma * -0.61062056)"
6,0.0012768528,"log((log10_sigma - log10_f) * 0.88812315)"
7,0.0010962472,"((-1.0429671 - log10_f) + log10_sigma) * 0.6137974"
9,0.0009571253,"(((log10_sigma - log10_f) + -1.0411221) / log10_k0_prime) / -0.19456884"
10,0.0009480783,"((log10_sigma - log10_f) + -1.0426651) / log(log10_k0_prime / -1.6465012)"
11,0.00088674534,"((log10_sigma - log10_f) / log(sqrt(log10_k0_prime / -0.3265528))) + -0.6434864"
13,0.0006572628,"(((log10_sigma + -1.7612928) - log10_f) * 0.61410743) - (-4.3810716 / (alpha_infinity - log10_k0_prime))"
14,0.0006565224,"(((log10_sigma + -2.4596186) - log10_f) * 0.6141471) - (-2.74254 / sqrt(alpha_infinity - log10_k0_prime))"
16,0.00064324826,"((log10_sigma + (-2.4572425 - log10_f)) * 0.61280453) - (-2.7344573 / sqrt(local_t3 + (alpha_infinity - log10_k0_prime)))"
17,0.0006358979,"(0.6141117 * ((log10_sigma + -1.7612203) - log10_f)) - (-4.3806357 / (alpha_infinity - (log10_k0_prime + (local_t / -3.0262806))))"
19,0.00063476653,"(log10_sigma + ((-1.7720181 - log10_f) - (-15.010385 / (((alpha_infinity - log10_k0_prime) / 0.4843026) + (local_t / alpha_infinity))))) * 0.6110052"
20,0.0006322798,"((log10_sigma + (-1.7784841 - log10_f)) - (-15.010032 / ((local_t / log(log10_sigma)) + ((alpha_infinity - log10_k0_prime) / 0.4885714)))) * 0.61105376"
21,0.00061694684,"((log10_sigma + (-1.7546183 - log10_f)) - (-15.00961 / ((((local_t / (log10_sigma - log10_f)) + alpha_infinity) - log10_k0_prime) / 0.475596))) * 0.6073865"
22,0.00056917855,"(log10_sigma + ((-1.7753466 - (-15.010387 / (((alpha_infinity - log10_k0_prime) / 0.48459104) + (local_t3 / log(log10_sigma * 0.24662237))))) - log10_f)) * 0.6135857"
