Complexity,Loss,Equation
1,0.002356181,"0.2690272"
3,0.0018660673,"3.920623 - log10_f"
4,0.0018529493,"log(4.9605246 - log10_f)"
5,0.0017519217,"(local_t + -2.2783668) / log10_k0_prime"
7,0.0015613515,"(-0.48436788 * (log10_sigma - local_t)) / log10_k0_prime"
9,0.0015262506,"((local_t * 0.6555328) + (log10_sigma * -0.48436788)) / log10_k0_prime"
11,0.0014772541,"sqrt(-0.111190446 - (log(log10_sigma) / (log10_k0_prime - (local_t * alpha_infinity))))"
13,0.0014581614,"sqrt(-0.12245138 - (log(log10_sigma) / (log10_k0_prime - ((alpha_infinity * local_t) - 0.5034022))))"
14,0.0013631539,"(log10_sigma + (local_t / (sqrt(alpha_infinity) - (log10_sigma - 2.6365004)))) * (-0.4843382 / log10_k0_prime)"
20,0.0013463593,"((log10_sigma / (log10_k0_prime - ((local_t * log10_lambda_prime) / (sqrt(alpha_infinity) + (5.816783 - (log10_sigma * 1.8254175)))))) * 1.7942528) / log10_lambda_prime"
22,0.0013371354,"((log10_sigma / ((log10_k0_prime + local_t3) - (local_t * (log10_lambda_prime / ((sqrt(alpha_infinity) + 6.317907) - (log10_sigma * 1.9419756)))))) / log10_lambda_prime) * 1.7952535"
24,0.001333652,"((log10_sigma * 1.7998587) / ((local_t3 + log10_k0_prime) - ((local_t * log10_lambda_prime) / (((local_t3 + sqrt(alpha_infinity)) + 5.8191113) - (log10_sigma * 1.8166851))))) / log10_lambda_prime"
