Complexity,Loss,Equation
1,0.015648501,"0.29755053"
3,0.013361041,"log10_sigma * 0.0642017"
4,0.0094339885,"log(log10_sigma / 3.4786613)"
5,0.007507874,"(log10_sigma * 0.4197655) + -1.6708088"
6,0.007446993,"alpha_infinity * log(log10_sigma / 3.8699443)"
7,0.007064198,"((log10_sigma + -5.001554) / alpha_infinity) + 0.50831425"
8,0.006497516,"log((4.8035755 / log10_lambda) + (log10_sigma / 1.8470478))"
9,0.0043527354,"(((log10_sigma + -5.159881) / alpha_infinity) * 0.65142906) + 0.5045796"
11,0.003589927,"(log10_lambda * -0.12518528) + (((log10_sigma * 0.65825075) + -3.397185) / alpha_infinity)"
13,0.0026470209,"((((-16.850159 / log10_lambda) - log10_f) * (log10_sigma + -5.0555367)) / alpha_infinity) + 0.48031816"
14,0.0024483288,"((sqrt((-15.56416 / log10_lambda) - log10_f) / alpha_infinity) * (log10_sigma + -5.100539)) + 0.4805594"
15,0.0022308473,"((log10_sigma + -4.9607444) * (((-15.827617 / log10_lambda) - log10_f) / (alpha_infinity - 0.3422944))) + 0.4217905"
19,0.002202981,"((((log10_sigma * ((-10.082758 / log10_lambda) - 1.4761851)) / (log10_f * alpha_infinity)) - 0.44524783) * (log10_sigma + -4.9376817)) + 0.41173735"
20,0.0019403276,"((log10_sigma + -4.936239) * ((log10_sigma * (((-11.502098 / log10_lambda) - sqrt(log10_f)) / (alpha_infinity * log10_f))) - 0.43087593)) + 0.4110698"
21,0.0016779826,"((log10_sigma + -4.9337864) * ((((-10.100482 / log10_lambda) - 1.4539058) * ((log10_sigma / (alpha_infinity * log10_f)) - local_t3)) - 0.46977654)) + 0.41067085"
22,0.0016641925,"((log10_sigma + -4.924648) * (((log10_sigma * ((-12.739182 / log10_lambda) - sqrt(log10_sigma))) / (alpha_infinity * log10_f)) - (local_t3 + 0.49600503))) + 0.3962543"
23,0.0013758186,"((log10_sigma + -4.941709) * ((sqrt(((-12.170039 / log10_lambda) - sqrt(log10_sigma)) / (alpha_infinity * log10_f)) * log10_sigma) - (local_t3 + 1.4369332))) + 0.40903604"
