Complexity,Loss,Equation
1,0.004565285,"0.32301128"
3,0.0035319964,"alpha_infinity * 0.20604883"
4,0.002979763,"sqrt(alpha_infinity) * 0.26188925"
5,0.0029276474,"(-0.2801417 / alpha_infinity) + 0.5124165"
6,0.0029235957,"sqrt(alpha_infinity - 0.27579588) * 0.28903496"
7,0.002561072,"((1.9962041 / alpha_infinity) + log10_lambda) / log10_k0_prime"
9,0.0023337752,"(log10_lambda + ((6.6865172 - log10_sigma) / alpha_infinity)) / log10_k0_prime"
11,0.0022707589,"(((log10_lambda + (11.043618 - log10_sigma)) / alpha_infinity) + -4.268986) / log10_k0_prime"
13,0.0022675137,"((((log10_lambda + 11.043618) - log10_sigma) / alpha_infinity) + -4.268986) / (log10_k0_prime - local_t2)"
15,0.0020147113,"((((5.197591 - log10_sigma) * -5.5362134) / (alpha_infinity / (3.8868358 - log10_sigma))) + log10_lambda) / log10_k0_prime"
17,0.0019956636,"(((5.197591 - log10_sigma) * (-5.5362134 / (alpha_infinity / (3.8868358 - log10_sigma)))) + log10_lambda) / (log10_k0_prime - local_t3)"
19,0.0019827408,"(log10_lambda + (((5.1983986 - log10_sigma) / (alpha_infinity / (3.888859 - log10_sigma))) * -5.538436)) / (log10_k0_prime - (local_t3 * 2.9979522))"
21,0.0019821078,"((((5.1983986 - log10_sigma) / (alpha_infinity / (3.888859 - log10_sigma))) * -5.538436) + log10_lambda) / (log10_k0_prime - ((log10_f * local_t3) / 1.2363831))"
22,0.0019756577,"((((5.1983986 - log10_sigma) / (alpha_infinity / (3.888859 - log10_sigma))) * -5.538436) + log10_lambda) / (log10_k0_prime - (local_t3 * log(alpha_infinity / local_t2)))"
24,0.0019690723,"(log10_lambda + ((-5.538436 * (5.1983986 - log10_sigma)) / (alpha_infinity / (3.888859 - log10_sigma)))) / (log10_k0_prime - (local_t3 * ((log(alpha_infinity) / -0.9507312) / -0.31712687)))"
