target,target_name,parameter,base_sample_size,mean_pointwise_S1,mean_pointwise_ST,max_abs_S1_change_from_previous_N,max_abs_ST_change_from_previous_N
re,R_real,sigma,1024,0.526308205268342,0.696513371592987,NaN,NaN
re,R_real,alpha_infinity,1024,0.129509221273855,0.287920158318878,NaN,NaN
re,R_real,lambda,1024,0.0268446260421423,0.104921578330488,NaN,NaN
re,R_real,lambda_prime,1024,0.0134139448640513,0.0218376196966635,NaN,NaN
re,R_real,k0_prime,1024,0.105046309595947,0.130832606130952,NaN,NaN
re,R_real,sigma,2048,0.523341424137626,0.696618538483734,0.0389940083315842,0.0237809804932551
re,R_real,alpha_infinity,2048,0.131423682698511,0.286305900887041,0.0149511175086927,0.0100620054499728
re,R_real,lambda,2048,0.0254625796107264,0.105475734690216,0.0129537506638202,0.00490872906700504
re,R_real,lambda_prime,2048,0.011327610594878,0.0219117426321366,0.0207032307049803,0.00249069765731523
re,R_real,k0_prime,2048,0.101206010585142,0.130622561340926,0.0228329130953006,0.00505340073302857
re,R_real,sigma,4096,0.520519094648045,0.695921375260549,0.0228327861932363,0.00762517404201835
re,R_real,alpha_infinity,4096,0.132810904851766,0.287573788824751,0.00766005777783707,0.0146819245659813
re,R_real,lambda,4096,0.0266091126653091,0.105596987779778,0.00774149193018014,0.00422674185369096
re,R_real,lambda_prime,4096,0.0122138147241284,0.0218447501713237,0.0130719216354183,0.000656487643573886
re,R_real,k0_prime,4096,0.101799279061794,0.128162483579751,0.0158215001303471,0.021394654050411
im,R_imag,sigma,1024,0.601778587003733,0.792337983815106,NaN,NaN
im,R_imag,alpha_infinity,1024,0.103359103777296,0.285141487574139,NaN,NaN
im,R_imag,lambda,1024,0.0356788985507752,0.131254241190615,NaN,NaN
im,R_imag,lambda_prime,1024,0.00478076645734381,0.00721975064434243,NaN,NaN
im,R_imag,k0_prime,1024,0.0389868408302764,0.0542154773613067,NaN,NaN
im,R_imag,sigma,2048,0.594496892162396,0.793006664223481,0.0425266230384489,0.0145486428216574
im,R_imag,alpha_infinity,2048,0.103437817759848,0.286801022568512,0.0172854448354679,0.00753894074307038
im,R_imag,lambda,2048,0.0342609341748024,0.130230925672363,0.00691631150470717,0.00493291159523307
im,R_imag,lambda_prime,2048,0.00293882065956725,0.0072885343673301,0.00954362088588645,0.000693633732110784
im,R_imag,k0_prime,2048,0.034962275782299,0.0542905060021071,0.026237845849703,0.00239693663684698
im,R_imag,sigma,4096,0.590786477924725,0.792940543702146,0.0217228683464658,0.00665668586878804
im,R_imag,alpha_infinity,4096,0.104397875064805,0.288558636378623,0.0113880036120896,0.0247994592354145
im,R_imag,lambda,4096,0.0372581065651321,0.131350193877276,0.0153150368777837,0.00505892951159881
im,R_imag,lambda_prime,4096,0.00353304710870326,0.00725354205672482,0.0110763147736918,0.000850123048854495
im,R_imag,k0_prime,4096,0.0350760042498817,0.052678817724166,0.0174251022183498,0.00838366655002624
