target,target_name,parameter,functional_S1,functional_ST,functional_ST_minus_S1,mean_pointwise_S1,mean_pointwise_ST,max_pointwise_ST
re,R_real,sigma,0.735833376705983,0.847893838582236,0.112060461876253,0.520519094648045,0.695921375260549,0.988271025580485
re,R_real,alpha_infinity,0.0860934045730011,0.172529885587847,0.0864364810148464,0.132810904851766,0.287573788824751,0.739642835165785
re,R_real,lambda,0.0272032553645064,0.0777557600339,0.0505525046693936,0.0266091126653091,0.105596987779778,0.206263277530552
re,R_real,lambda_prime,0.00356922267256898,0.00639191265346525,0.00282268998089626,0.0122138147241284,0.0218447501713237,0.0826369305891568
re,R_real,k0_prime,0.0230280420222128,0.0333703921947765,0.0103423501725638,0.101799279061794,0.128162483579751,0.709522366551054
im,R_imag,sigma,0.698195573924652,0.841368370105637,0.143172796180985,0.590786477924725,0.792940543702146,0.982410056843859
im,R_imag,alpha_infinity,0.100076049607765,0.216101311390243,0.116025261782478,0.104397875064805,0.288558636378623,0.696136945542117
im,R_imag,lambda,0.0277364318879205,0.0953671637163575,0.067630731828437,0.0372581065651321,0.131350193877276,0.396663565131803
im,R_imag,lambda_prime,0.00222289685513011,0.00467683459889682,0.00245393774376672,0.00353304710870326,0.00725354205672482,0.0237170546698978
im,R_imag,k0_prime,0.0126221163949849,0.024854622083284,0.0122325056882991,0.0350760042498817,0.052678817724166,0.434987398412702
