target,target_name,segment,lower_hz,upper_hz,parameter,functional_S1,functional_ST,functional_ST_minus_S1,mean_pointwise_S1,mean_pointwise_ST,max_pointwise_ST,peak_ST_frequency_hz
re,R_real,low_100_700,100,700,sigma,0.530352317077623,0.584970478862399,0.0546181617847761,0.60496297090294,0.640103583418359,0.951813049363188,214.566929133858
re,R_real,low_100_700,100,700,alpha_infinity,0.0481125940300935,0.0704209310763923,0.0223083370462988,0.0335904700725754,0.0474753993021686,0.103084639727995,520.07874015748
re,R_real,low_100_700,100,700,lambda,0.0206886067563273,0.048750804680622,0.0280621979242947,0.014685987409095,0.0323817372579569,0.0719327862477676,520.07874015748
re,R_real,low_100_700,100,700,lambda_prime,0.00906889512869746,0.0254552493886869,0.0163863542599895,0.00785006076529441,0.0219753687309554,0.0331064532309335,558.267716535433
re,R_real,low_100_700,100,700,k0_prime,0.310991305960124,0.34780988101091,0.0368185750507853,0.283739608905738,0.311505496706753,0.709522366551054,481.889763779528
re,R_real,midlow_700_1000,700,1000,sigma,0.834982842638673,0.876221466000809,0.0412386233621355,0.807858463831201,0.852738628029713,0.926423933963901,978.346456692913
re,R_real,midlow_700_1000,700,1000,alpha_infinity,0.0277918782845152,0.0433565436070849,0.0155646653225697,0.0303440299955473,0.0475047099727385,0.0643461460124431,711.023622047244
re,R_real,midlow_700_1000,700,1000,lambda,0.0105723552082868,0.0246727822201747,0.0141004270118879,0.0119438819889211,0.0286295830944432,0.0444313011074218,711.023622047244
re,R_real,midlow_700_1000,700,1000,lambda_prime,0.00645539706054277,0.0131235402562299,0.00666814319568711,0.0069935009692652,0.0147185588262036,0.0217597166715055,711.023622047244
re,R_real,midlow_700_1000,700,1000,k0_prime,0.0705979884310072,0.0919321242473928,0.0213341358163857,0.0871009765177039,0.110979261965935,0.201758964874475,711.023622047244
re,R_real,midhigh_1000_1300,1000,1300,sigma,0.948819036779488,0.965460138913428,0.0166411021339397,0.945347776776878,0.962983267385482,0.980927873482559,1283.85826771654
re,R_real,midhigh_1000_1300,1000,1300,alpha_infinity,0.012100133707175,0.0189720108538964,0.00687187714672138,0.0127924424512792,0.0199261599903629,0.0297386752461826,1016.53543307087
re,R_real,midhigh_1000_1300,1000,1300,lambda,0.00357063675267022,0.00660380869585231,0.00303317194318209,0.00382272521252602,0.00702354087765646,0.0121235434675162,1016.53543307087
re,R_real,midhigh_1000_1300,1000,1300,lambda_prime,0.00306027322145352,0.00552979958562267,0.00246952636416914,0.00320930403881893,0.00579262611961821,0.00830814699132536,1016.53543307087
re,R_real,midhigh_1000_1300,1000,1300,k0_prime,0.0160324015638733,0.0246651236309007,0.00863272206702739,0.0173911471189431,0.0263808197058559,0.0447511559268935,1016.53543307087
re,R_real,highlow_1300_1650,1300,1650,sigma,0.974601064974728,0.986632596063311,0.0120315310885827,0.974720181297633,0.986624592855559,0.988271025580485,1436.61417322835
