target,target_name,region,parameter,teacher_functional_S1,teacher_functional_ST,mlp_functional_S1,mlp_functional_ST,mlp_minus_teacher_functional_S1,mlp_minus_teacher_functional_ST
re,R_real,global,sigma,0.740367678191089,0.849552069649337,0.74033513074042,0.845435544296332,-3.25474506687184e-05,-0.004116525353005
re,R_real,global,alpha_infinity,0.0852970630948356,0.171057012847241,0.087236074383282,0.172716545665144,0.00193901128844641,0.00165953281790313
re,R_real,global,lambda,0.0285340918174179,0.0782132474858632,0.0278552394483453,0.077086322545434,-0.000678852369072582,-0.00112692494042914
re,R_real,global,lambda_prime,0.00625120460163919,0.00637951043509973,0.00763355654160979,0.00637109727031536,0.00138235193997059,-8.4131647843733e-06
re,R_real,global,k0_prime,0.0255063370224591,0.0320728296474263,0.0269949285592241,0.0342214909627811,0.00148859153676497,0.00214866131535484
im,R_imag,global,sigma,0.702619392105767,0.840944167553596,0.705238759896115,0.839778860309573,0.00261936779034799,-0.00116530724402275
im,R_imag,global,alpha_infinity,0.100149277026622,0.215920492187378,0.101881738380771,0.214859084948665,0.00173246135414903,-0.00106140723871237
im,R_imag,global,lambda,0.0286521834636299,0.0963054694096682,0.0292048566578975,0.0950850620702896,0.000552673194267588,-0.00122040733937867
im,R_imag,global,lambda_prime,0.00529062915853887,0.00481908372541747,0.00521896802831479,0.00460436169193303,-7.16611302240787e-05,-0.000214722033484432
im,R_imag,global,k0_prime,0.0169132136736215,0.0257088929497145,0.0177059210205032,0.0258384466130815,0.000792707346881708,0.000129553663367026
