target,target_name,region,parameter,teacher_functional_S1,teacher_functional_ST,mlp_functional_S1,mlp_functional_ST,mlp_minus_teacher_functional_S1,mlp_minus_teacher_functional_ST,lower_hz,upper_hz
re,R_real,low_100_700,sigma,0.528752480639223,0.585771137585189,0.529909966857387,0.588870311547315,0.00115748621816381,0.00309917396212622,100,700
re,R_real,low_100_700,alpha_infinity,0.0478936338290573,0.0701163991630223,0.0471013670373265,0.0703629731708471,-0.000792266791730771,0.000246574007824754,100,700
re,R_real,low_100_700,lambda,0.0178469113457847,0.0473331822552094,0.0176254315583157,0.0481047934397782,-0.000221479787468983,0.000771611184568796,100,700
re,R_real,low_100_700,lambda_prime,0.011324044839291,0.0256741367865083,0.0102147373662083,0.0256195755660122,-0.00110930747308264,-5.45612204960987e-05,100,700
re,R_real,low_100_700,k0_prime,0.315473781841714,0.348524800172215,0.313764863980703,0.348168609399061,-0.00170891786101085,-0.000356190773153575,100,700
im,R_imag,low_100_700,sigma,0.943916855857332,0.950696929872602,0.942311540257919,0.950220880724878,-0.00160531559941357,-0.000476049147724478,100,700
im,R_imag,low_100_700,alpha_infinity,0.000292488281166485,0.000908084340374917,-0.00046607411189066,0.00135518395167575,-0.000758562393057145,0.000447099611300837,100,700
im,R_imag,low_100_700,lambda,-0.000319734978740328,0.000729163483475397,-0.000249087860794576,0.000983960520351742,7.06471179457521e-05,0.000254797036876345,100,700
im,R_imag,low_100_700,lambda_prime,0.00514396743355345,0.00909086422183984,0.00450727241420157,0.00893491337594465,-0.000636695019351875,-0.00015595084589518,100,700
im,R_imag,low_100_700,k0_prime,0.0406482953808375,0.0490428729259141,0.0393946627538846,0.050365539200194,-0.00125363262695287,0.00132266627427995,100,700
re,R_real,midlow_700_1000,sigma,0.838741921476411,0.88052351286531,0.835866045395533,0.880036811894759,-0.00287587608087725,-0.000486700970551368,700,1000
re,R_real,midlow_700_1000,alpha_infinity,0.0257500459061417,0.0424009330886044,0.0277380700021348,0.0435039336375998,0.00198802409599312,0.00110300054899543,700,1000
re,R_real,midlow_700_1000,lambda,0.00811564151331551,0.0226313988688527,0.00926204970935673,0.0246211067136941,0.00114640819604122,0.00198970784484136,700,1000
re,R_real,midlow_700_1000,lambda_prime,0.00571425552113185,0.0127463373798338,0.00783932031139263,0.0132584317574927,0.00212506479026078,0.000512094377658871,700,1000
re,R_real,midlow_700_1000,k0_prime,0.0732536361631431,0.0915876082571563,0.0697453330869156,0.0929364500777645,-0.00350830307622751,0.0013488418206082,700,1000
im,R_imag,midlow_700_1000,sigma,0.952203504438501,0.963879558655609,0.952955106365512,0.963676259223757,0.000751601927011847,-0.000203299431852266,700,1000
im,R_imag,midlow_700_1000,alpha_infinity,0.0165112636205246,0.0201904540853559,0.0175072424651034,0.0199270478809549,0.000995978844578849,-0.000263406204400966,700,1000
im,R_imag,midlow_700_1000,lambda,0.010029336386718,0.0196433918411698,0.00931598638423149,0.019640009801767,-0.000713350002486532,-3.38203940282791e-06,700,1000
im,R_imag,midlow_700_1000,lambda_prime,0.00376397945669892,0.00292770011724525,0.00382569267567739,0.00268437011708882,6.17132189784731e-05,-0.000243330000156424,700,1000
im,R_imag,midlow_700_1000,k0_prime,0.00956108837855106,0.0115209027403543,0.00855294386061391,0.0109361360355419,-0.00100814451793716,-0.000584766704812457,700,1000
re,R_real,midhigh_1000_1300,sigma,0.950733085524397,0.965812607491258,0.950050454594081,0.962704041938062,-0.000682630930315731,-0.00310856555319627,1000,1300
re,R_real,midhigh_1000_1300,alpha_infinity,0.013225446877913,0.0191332600641663,0.0152862992992979,0.0191113169419605,0.00206085242138491,-2.19431222058912e-05,1000,1300
re,R_real,midhigh_1000_1300,lambda,0.00335519331039406,0.00603993804296542,0.00335047919026465,0.00657590654594498,-4.7141201294093e-06,0.00053596850297956,1000,1300
re,R_real,midhigh_1000_1300,lambda_prime,0.00447006124537486,0.00528557668424468,0.00669987880245538,0.005495079117516,0.00222981755708052,0.000209502433271315,1000,1300
re,R_real,midhigh_1000_1300,k0_prime,0.0184171900963755,0.0246352599676437,0.015550704043116,0.0253168642037054,-0.00286648605325951,0.000681604236061725,1000,1300
im,R_imag,midhigh_1000_1300,sigma,0.706280506925381,0.810220920981755,0.705969538540943,0.809362090949539,-0.000310968384438004,-0.000858830032216318,1000,1300
im,R_imag,midhigh_1000_1300,alpha_infinity,0.106764554740489,0.157478414176361,0.10885171934282,0.156624369954498,0.00208716460233151,-0.000854044221862443,1000,1300
im,R_imag,midhigh_1000_1300,lambda,0.0570581052576985,0.125579693627332,0.0565089869004451,0.125872732289518,-0.000549118357253409,0.000293038662185385,1000,1300
im,R_imag,midhigh_1000_1300,lambda_prime,0.0075889542326817,0.00236387921681713,0.00933491765803254,0.00225612324312995,0.00174596342535084,-0.000107755973687184,1000,1300
im,R_imag,midhigh_1000_1300,k0_prime,0.0236751293925331,0.0289417515708413,0.0272961719915466,0.0304039154165706,0.00362104259901348,0.00146216384572931,1000,1300
re,R_real,highlow_1300_1650,sigma,0.976606899987722,0.983314191787677,0.977032594223561,0.978731012148513,0.000425694235839158,-0.0045831796391641,1300,1650
re,R_real,highlow_1300_1650,alpha_infinity,0.00785211342636329,0.0110207243556453,0.00883112268730654,0.0112569004695834,0.000979009260943254,0.000236176113938009,1300,1650
re,R_real,highlow_1300_1650,lambda,0.00531980136949395,0.0138712556557052,0.00419220718459385,0.0142695380038131,-0.0011275941849001,0.000398282348107898,1300,1650
re,R_real,highlow_1300_1650,lambda_prime,0.00539747974200508,0.00183002885004949,0.00692123176346135,0.00207318594550079,0.00152375202145627,0.000243157095451299,1300,1650
re,R_real,highlow_1300_1650,k0_prime,0.00714126163895022,0.00655452222046781,0.00560023536122775,0.00747619610837272,-0.00154102627772247,0.000921673887904914,1300,1650
im,R_imag,highlow_1300_1650,sigma,0.119348431555487,0.461525389947747,0.12183899376249,0.460860598969731,0.00249056220700303,-0.000664790978016305,1300,1650
im,R_imag,highlow_1300_1650,alpha_infinity,0.359010353500384,0.547568908561953,0.359170005781532,0.544798512074088,0.000159652281147393,-0.0027703964878647,1300,1650
im,R_imag,highlow_1300_1650,lambda,0.14774890439382,0.304181881783429,0.152224679148594,0.304062748976848,0.00447577475477418,-0.000119132806580102,1300,1650
im,R_imag,highlow_1300_1650,lambda_prime,0.0110529823852925,0.00702146378666302,0.013861083139013,0.00680955366360921,0.00280810075372053,-0.000211910123053808,1300,1650
im,R_imag,highlow_1300_1650,k0_prime,0.031504624298792,0.0546570383437246,0.0356098232108186,0.0571437922653188,0.00410519891202654,0.00248675392159428,1300,1650
re,R_real,high_1650_2000,sigma,0.926744184353404,0.962129057612474,0.926573710753426,0.956757815723845,-0.000170473599977905,-0.00537124188862981,1650,2000
re,R_real,high_1650_2000,alpha_infinity,0.0164089021598494,0.0348804747717221,0.0173519385702596,0.0367543509660976,0.000943036410410249,0.00187387619437555,1650,2000
re,R_real,high_1650_2000,lambda,0.0166334594635318,0.0480980004169109,0.0153536796890885,0.0491677322704655,-0.00127977977444324,0.0010697318535546,1650,2000
re,R_real,high_1650_2000,lambda_prime,0.00563376983799673,0.000709502706761537,0.00727669289228449,0.000917219011296488,0.00164292305428776,0.000207716304534951,1650,2000
re,R_real,high_1650_2000,k0_prime,0.00572036903286334,0.00336865551498346,0.00659915807828741,0.00438578025456212,0.000878789045424074,0.00101712473957867,1650,2000
im,R_imag,high_1650_2000,sigma,0.291904096194094,0.541852320889564,0.292421793623754,0.536991910753774,0.00051769742966018,-0.00486041013579008,1650,2000
im,R_imag,high_1650_2000,alpha_infinity,0.359000461306534,0.527151862232414,0.360469645701823,0.528624881539964,0.00146918439528937,0.00147301930754928,1650,2000
im,R_imag,high_1650_2000,lambda,0.10268054210918,0.180743660511958,0.105971876075193,0.179360832978014,0.00329133396601275,-0.00138282753394378,1650,2000
im,R_imag,high_1650_2000,lambda_prime,0.00864038554551066,0.00455323528028291,0.00739607892032276,0.00437042967740411,-0.0012443066251879,-0.000182805602878804,1650,2000
im,R_imag,high_1650_2000,k0_prime,0.00925758893283342,0.0239924507267125,0.00801570936165059,0.0258162577818643,-0.00124187957118283,0.00182380705515179,1650,2000
re,R_real,upperlow_2000_3000,sigma,0.637899263192359,0.814043855193417,0.637005721405375,0.809274779834539,-0.000893541786984753,-0.00476907535887805,2000,3000
re,R_real,upperlow_2000_3000,alpha_infinity,0.122221846741705,0.240832868938208,0.125595267812062,0.245342340440595,0.00337342107035703,0.0045094715023874,2000,3000
re,R_real,upperlow_2000_3000,lambda,0.0551067969648914,0.128218214159545,0.0540334451286375,0.127368860785827,-0.00107335183625387,-0.000849353373718442,2000,3000
re,R_real,upperlow_2000_3000,lambda_prime,0.00318499537386114,0.00119359013456235,0.00465783954572266,0.00136749036369088,0.00147284417186152,0.000173900229128535,2000,3000
re,R_real,upperlow_2000_3000,k0_prime,0.00421413017842314,0.00764226837811517,0.00732379300508241,0.00900763828825533,0.00310966282665927,0.00136536991014016,2000,3000
im,R_imag,upperlow_2000_3000,sigma,0.797974133114838,0.851485810760483,0.800167920620792,0.84985627526709,0.00219378750595411,-0.00162953549339262,2000,3000
im,R_imag,upperlow_2000_3000,alpha_infinity,0.122519809269187,0.172667309928091,0.12429750006336,0.172128266901263,0.00177769079417259,-0.000539043026827946,2000,3000
im,R_imag,upperlow_2000_3000,lambda,0.0176367537826437,0.0517996743050042,0.0178526777025139,0.0504230127136093,0.000215923919870228,-0.00137666159139489,2000,3000
im,R_imag,upperlow_2000_3000,lambda_prime,0.00683694573797771,0.00160903236979762,0.006480691339604,0.00169518041079647,-0.000356254398373705,8.61480409988468e-05,2000,3000
im,R_imag,upperlow_2000_3000,k0_prime,0.00965726119323001,0.007929172524952,0.00998374615217813,0.00789596571192739,0.000326484958948112,-3.32068130246173e-05,2000,3000
re,R_real,uppermid_3000_4000,sigma,0.168249103953559,0.457991045587018,0.169491984788202,0.455304654595912,0.00124288083464341,-0.0026863909911059,3000,4000
re,R_real,uppermid_3000_4000,alpha_infinity,0.36615930200295,0.660821738844289,0.36923678443999,0.665721308256698,0.00307748243703904,0.00489956941240899,3000,4000
re,R_real,uppermid_3000_4000,lambda,0.0581187658944679,0.167448787311688,0.0601252901865421,0.158812533744792,0.00200652429207413,-0.00863625356689654,3000,4000
re,R_real,uppermid_3000_4000,lambda_prime,0.00698491095517428,0.0140782440117075,0.00825980487778304,0.0138934949606292,0.00127489392260876,-0.000184749051078291,3000,4000
re,R_real,uppermid_3000_4000,k0_prime,0.0729416787084186,0.085181928395224,0.079131175048469,0.0879367712674224,0.00618949634005038,0.0027548428721984,3000,4000
im,R_imag,uppermid_3000_4000,sigma,0.758670227935572,0.958234160162468,0.763290920230715,0.956265507620324,0.00462069229514361,-0.00196865254214396,3000,4000
im,R_imag,uppermid_3000_4000,alpha_infinity,0.00630262551133155,0.159000949604135,0.00871776827008413,0.158010401719127,0.00241514275875258,-0.000990547885008353,3000,4000
im,R_imag,uppermid_3000_4000,lambda,0.0074114228101302,0.0909855039565958,0.00602623134796638,0.090522806124533,-0.00138519146216382,-0.000462697832062861,3000,4000
im,R_imag,uppermid_3000_4000,lambda_prime,0.00249190946477383,0.00565186975270964,0.0016124671985429,0.00529420616039186,-0.000879442266230931,-0.000357663592317778,3000,4000
im,R_imag,uppermid_3000_4000,k0_prime,0.00922132579384799,0.0211521889994706,0.011472584597343,0.0227136052145868,0.00225125880349502,0.00156141621511616,3000,4000
re,R_real,upperhigh_4000_4950,sigma,0.292801247528478,0.612136981371826,0.288618896948912,0.601167695809085,-0.00418235057956634,-0.0109692855627405,4000,4950
re,R_real,upperhigh_4000_4950,alpha_infinity,0.0646278840621062,0.402221467774879,0.066353221251624,0.392629292693412,0.00172533718951787,-0.00959217508146726,4000,4950
re,R_real,upperhigh_4000_4950,lambda,0.00524784524771766,0.181373739402801,0.00208669478750383,0.171089670023125,-0.00316115046021383,-0.0102840693796755,4000,4950
re,R_real,upperhigh_4000_4950,lambda_prime,0.0416491860859574,0.0712473355171395,0.0377795038890837,0.0671056799230567,-0.00386968219687364,-0.00414165559408275,4000,4950
re,R_real,upperhigh_4000_4950,k0_prime,0.178295614379771,0.256702637245611,0.193844931970686,0.283810064470231,0.015549317590915,0.0271074272246206,4000,4950
im,R_imag,upperhigh_4000_4950,sigma,0.281681213960525,0.708072144528504,0.289879675974415,0.712727716360669,0.00819846201388924,0.00465557183216514,4000,4950
im,R_imag,upperhigh_4000_4950,alpha_infinity,0.0685901655419532,0.603797585472147,0.0709775896375548,0.598117313258583,0.00238742409560155,-0.00568027221356449,4000,4950
im,R_imag,upperhigh_4000_4950,lambda,0.027540979544224,0.276035645840684,0.0338510988636815,0.268579390864564,0.00631011931945751,-0.00745625497611951,4000,4950
im,R_imag,upperhigh_4000_4950,lambda_prime,-0.000373203264126995,0.0178415215540763,0.00163251325643573,0.0165368754076099,0.00200571652056273,-0.00130464614646639,4000,4950
im,R_imag,upperhigh_4000_4950,k0_prime,0.0591140570791748,0.107754751532916,0.0590433280148328,0.0997032458909959,-7.07290643420858e-05,-0.00805150564191996,4000,4950
